hub,table,affected_satellites,other_verified_keys_on_table,candidate_discriminator_columns,note
HUB_ASSESSMENT,BJAZ_HCF_MEMBER_DTLS,SAT_ASSESSMENT_MEDICAL,"HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_POLICY(POLICY_NUMBER); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_NO)","ACTION_CODE, SMOKER_FLAG, ASTHMA_FLAG, HOLESTEROL_FLAG, HEART_FLAG, HIPERTENSION_FLAG, DIABETES_FLAG, HEIGHT_FLAG, WEIGHT_FLAG, AGE_PROOF_FLAG, MED_EXAM_FLAG, OBESITY_FLAG, BMI_FLAG, OTHER_RISK_FLAG, HYPERLIPIDE_FLAG, DIABETES_TYPE",
HUB_ASSESSMENT,BJAZ_HM_HCM_EXTRACT,SAT_ASSESSMENT_HEADER; SAT_ASSESSMENT_MEDICAL,"HUB_CLAIM(CLID); HUB_POLICY(POLICY); HUB_CLAIM(CLAIM_NO); HUB_PAYMENT_INSTRUMENT(CHEQUE_NO); HUB_FINANCIAL_ACCOUNT(BANK_AC_NO); HUB_DISTRIBUTION_CHANNEL(IMD_CODE); HUB_PARTY(HOSPITAL_ID); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_PARTY(PID); HUB_LOSS_EVENT(CLAIM_NO); HUB_FINANCIAL_TRANSACTION(CLAIM_NO,UTR_NO); HUB_PAYMENT_INSTRUMENT(UTR_NO); HUB_LOCATION(POLICY_LOCATION)","HOSPITAL_TYPE, ROOM_CATEGORY, CLAIM_TYPE, TREATMENT_TYPE, CLAIM_STATUS, ICD_CODE, DISEASE_CATEGORY, PAY_STATUS, CLAIM_CLOSE_STATUS, IP_TYPE, ELIGIBLE_ROOM_CATEGORY, AVAILED_ROOM_CATEGORY",
HUB_ASSESSMENT,BJAZ_HM_HOSP_MASTER_EXTN1,SAT_ASSESSMENT_HEADER,HUB_PARTY(HOSID); HUB_AGREEMENT(HOSID),,"no candidate discriminator column found at all -- would need a literal/mapper-supplied one, not just confirmation of an existing column"
HUB_CLAIM,BJAZ_EC_MEM_DTLS_EXTN,SAT_CLAIM_HEADER; SAT_CLAIM_HEALTH_DETAIL,"HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(MEMBER_NO); HUB_DOCUMENT(MEDICAL_REPORT); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_NO)","ACTION_CODE, STATUS",
HUB_CLAIM,BJAZ_GRP_HLT_MATERNITY_DTLS,SAT_CLAIM_HEALTH_DETAIL,HUB_POLICY(REG_NO); HUB_PRODUCT(PRODUCT); HUB_QUOTE(QUOTE_SUB_NO); HUB_QUOTE(QUOTE_NO),TAX_CODE,
HUB_CLAIM,BJAZ_HCF_MEMBER_DTLS,SAT_CLAIM_HEADER,"HUB_POLICY(CONTRACT_ID); HUB_PARTY(MEMBER_NO); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID); HUB_POLICY(POLICY_NUMBER); HUB_RISK_OBJECT(CONTRACT_ID,MEMBER_NO)","ACTION_CODE, SMOKER_FLAG, ASTHMA_FLAG, HOLESTEROL_FLAG, HEART_FLAG, HIPERTENSION_FLAG, DIABETES_FLAG, HEIGHT_FLAG, WEIGHT_FLAG, AGE_PROOF_FLAG, MED_EXAM_FLAG, OBESITY_FLAG, BMI_FLAG, OTHER_RISK_FLAG, HYPERLIPIDE_FLAG, DIABETES_TYPE",
HUB_CLAIM,BJAZ_HM_CLAIM_STATUS_DASH_APP,SAT_CLAIM_HEADER,HUB_LOCATION(LOC_CODE),STATUS,
HUB_CLAIM,BJAZ_HM_GMC_AHC,SAT_CLAIM_HEALTH_DETAIL,HUB_POLICY(POLICY_NO),,"no candidate discriminator column found at all -- would need a literal/mapper-supplied one, not just confirmation of an existing column"
HUB_CLAIM,BJAZ_SH_MEM_DTLS_EXTN,SAT_CLAIM_HEALTH_DETAIL,HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_REF); HUB_PARTY(MEMBER_NO); HUB_DOCUMENT(MEDICAL_REPORT); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID),"ACTION_CODE, STATUS",
HUB_CLAIM,BJAZ_SPP_MEMBER_DTLS,SAT_CLAIM_HEALTH_DETAIL,HUB_PARTY(MEMBER_NO); HUB_POLICY(CONTRACT_ID); HUB_POLICY(POLICY_NUMBER); HUB_DISTRIBUTION_CHANNEL(PARTNER_ID),ACTION_CODE,
