hub_code,model_name,num_source_columns,view_collapsed,contributing_tables
HUB_AGREEMENT,agreement,5,False,BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HM_HOSPITAL_MASTER; BJAZ_HM_HOSPITAL_MASTER_EXTN; BJAZ_HM_HOSP_MASTER_EXTN1; BJAZ_REMEDINET_CLAIM_DETAILS
HUB_ASSESSMENT,assessment,25,False,BA_HCP_PORT_WORDINGS; BA_HCP_PP_MEM_DTLS; BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BA_HDFC_LEAD; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_EHH_POL_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GRP_HLT_DTLS; BJAZ_HCP_TRANSCRIPT_URL; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HM_DOCTOR_ASSESS; BJAZ_HM_DOCTOR_MULTI_ASSESS; BJAZ_HM_HAT_ITRACK_DTLS; BJAZ_HM_PCS_DES_MASTER; BJAZ_HM_PCS_MASTER; BJAZ_HM_PCS_MULTI_ASSESS; BJAZ_HM_PRO_ASSESSMENT; BJAZ_SCRUTINY_IP_DTLS; BJAZ_SCR_HLTH_PORTABLE_DTLS; BJAZ_SUPER_SURAKSHA_DTLS
HUB_CASE,case,6,False,BJAZ_HM_HAT_ITRACK_DTLS; BJAZ_HM_INWARD_AUTOALLOCATION; BJAZ_HM_PREAUTH_ENHANCE; BJAZ_HM_PREAUTH_QUERY; BJAZ_SCR_HLTH_PORTABLE_DTLS; BJAZ_TRV_CLM_ITRACK_DTLS
HUB_CLAIM,claim,61,False,BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CLM_PRE_AUTH_HLT_DTLS; BJAZ_CLM_WG_TRANS_DTLS; BJAZ_CLM_WG_TRANS_DTLS_HIST; BJAZ_FPLM_OD_HOSPITAL_DETAILS; BJAZ_HAT_CASE_OCR_DTLS; BJAZ_HAT_DEDUTION_SUMMARY; BJAZ_HAT_OCR_BILL_DETAILS; BJAZ_HAT_OCR_FINA_DTLS_LST; BJAZ_HM_BILL_CHARGE; BJAZ_HM_BILL_DETAIL; BJAZ_HM_BILL_DETAIL_OCR; BJAZ_HM_BILL_PAYMENT; BJAZ_HM_CASHLESS_INWARD; BJAZ_HM_CLAIM_PAYMENT; BJAZ_HM_CLM_ENHANCE; BJAZ_HM_CLM_REGISTER; BJAZ_HM_CLM_REGISTER_EXTN; BJAZ_HM_COINSU_CLM_DTLS; BJAZ_HM_DOCTOR_ASSESS; BJAZ_HM_DOCTOR_MULTI_ASSESS; BJAZ_HM_DOC_RECOVERY; BJAZ_HM_EXCLUSION_APPLY; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_INVESTI_PAYMENT; BJAZ_HM_INWARD_AUTOALLOCATION; BJAZ_HM_INWARD_DTLS; BJAZ_HM_ORPHAN_REG; BJAZ_HM_OUTWARD_DTLS; BJAZ_HM_PCS_MULTI_ASSESS; BJAZ_HM_PREAUTH_ENHANCE; BJAZ_HM_PREAUTH_QUERY; BJAZ_HM_PRO_ASSESSMENT; BJAZ_HM_QUERY_REMARK; BJAZ_INVESTIGATION_REPORTS; BJAZ_REMEDINET_CLAIM_DETAILS; BJAZ_TPA_CLAIM_DETAILS_WS; BJAZ_TPCLM_COURT_DTL_EXTN; BJAZ_TPCLM_HOSPITAL_DTL; BJAZ_TPCLM_HOSPITAL_TRAN_DTL; BJAZ_WG_INSPECTION_DTLS
HUB_COVERAGE,coverage,8,False,BA_HCP_DT_MEM; BA_HCP_DT_MEM_COV; BA_HCP_DT_POL_COV; BA_HCP_DT_PREMIUM; BJAZ_HG_POL_DTLS; BJAZ_HM_DOCTOR_MULTI_ASSESS; BJAZ_HM_DOC_RECOVERY; T_PREM_DATA_COM
HUB_DISTRIBUTION_CHANNEL,distribution_channel,90,False,BA_HCP_POL_MST; BA_HCP_PORT_WORDINGS; BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_ADLD_PREM_DTLS; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CARD_DTLS; BJAZ_CLM_SUPP_EXTN; BJAZ_CTNGY_FF_DTLS_EXTN; BJAZ_CTNGY_GC_MEM_DATA; BJAZ_CTNGY_PA_MEM_DTLS; BJAZ_CTNGY_SCHEME_MST; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_EHH_POL_DTLS; BJAZ_EWR_POL_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GC_GROUP_GUARD_DTLS; BJAZ_GENERIC_LOADER_LOG_TABLE; BJAZ_GG_PREM_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_IMD_DTLS; BJAZ_HAT_CASE_OCR_DTLS; BJAZ_HCF_MEMBER_DTLS; BJAZ_HCP_TRANSCRIPT_URL; BJAZ_HDFC_FLEXIPA; BJAZ_HDFC_SEC_FHPP; BJAZ_HDFC_SURK_SHOP; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HG_POL_DTLS; BJAZ_HLT_ENSURE_MEM_DTLS; BJAZ_HM_CLM_REGISTER; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_HOSPITAL_MASTER; BJAZ_HM_HOSPITAL_MASTER_EXTN; BJAZ_HM_MEMBER_DTLS; BJAZ_IHG_MEM_DTLS_EXTN; BJAZ_PA_DETL_EXTN; BJAZ_PC_ONLINE_POL_DTLS_MV; BJAZ_PNB_GPA_DATA; BJAZ_RR_PREM_DTLS; BJAZ_SCRUTINY_IP_DTLS; BJAZ_SH_MEM_DTLS_EXTN; BJAZ_SPP_MEMBER_DTLS; BJAZ_STARPKG_FF_DTLS; BJAZ_SUPER_SURAKSHA_DTLS; BJAZ_TPA_CLAIM_DETAILS_WS; T_PREM_DATA_COM
HUB_DOCUMENT,document,14,False,BJAZ_CARD_DTLS; BJAZ_CLM_PRE_AUTH_HLT_DTLS; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_HM_CLM_REGISTER; BJAZ_HM_INWARD_AUTOALLOCATION; BJAZ_HM_INWARD_DTLS; BJAZ_HM_OUTWARD_DTLS; BJAZ_HM_PREAUTH_ENHANCE; BJAZ_HM_PREAUTH_QUERY; BJAZ_IHG_MEM_DTLS_EXTN; BJAZ_REMEDINET_CLAIM_DETAILS; BJAZ_SH_MEM_DTLS_EXTN; NG_HCM_INWARD_DETAILS
HUB_FINANCIAL_ACCOUNT,financial_account,18,False,BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_ADLD_PREM_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GG_PREM_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_HDFC_FLEXIPA; BJAZ_HDFC_SEC_FHPP; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_MEMBER_DTLS; BJAZ_PNB_GPA_DATA; BJAZ_RR_PREM_DTLS
HUB_FINANCIAL_TRANSACTION,financial_transaction,3,False,BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HM_HCM_EXTRACT; BJAZ_TPA_CLAIM_DETAILS_WS
HUB_LOCATION,location,18,False,BA_HCP_POL_MST; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CLM_SUPP_EXTN; BJAZ_CLM_WG_TRANS_DTLS; BJAZ_CLM_WG_TRANS_DTLS_HIST; BJAZ_EHH_POL_DTLS; BJAZ_GC_GROUP_GUARD_DTLS; BJAZ_GENERIC_LOADER_LOG_TABLE; BJAZ_HM_CLAIM_STATUS_DASH_APP; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_HOSPITAL_MASTER; BJAZ_HM_INWARD_DTLS; BJAZ_HM_ORPHAN_REG; BJAZ_HM_OUTWARD_DTLS; BJAZ_PNB_GPA_DATA; BJAZ_SUPER_SURAKSHA_DTLS; NG_HCM_INWARD_DETAILS
