link_code,model_name,num_source_branches,view_collapsed,end_aliases
LNK_PARTY_ROLE,party_role,2,False,party_bk; link_instance_bk
LNK_PARTY_LOCATION,party_location,8,False,location_bk; party_bk
LNK_PARTY_PAYMENT_INSTRUMENT,party_payment_instrument,3,False,party_bk; payment_instrument_bk
LNK_PARTY_DOCUMENT,party_document,9,False,document_bk; party_bk
LNK_PARTY_ORG_UNIT,party_org_unit,9,False,org_unit_bk; party_bk
LNK_PARTY_CHANNEL,party_channel,35,False,distribution_channel_bk; party_bk
LNK_CHANNEL_ORG_UNIT,channel_org_unit,12,False,distribution_channel_bk; org_unit_bk
LNK_AGREEMENT_PARTY,agreement_party,4,False,agreement_bk; party_bk
LNK_AGREEMENT_CHANNEL,agreement_channel,3,False,agreement_bk; distribution_channel_bk
LNK_AGREEMENT_PRODUCT,agreement_product,1,True,agreement_bk; product_bk
LNK_AGREEMENT_DOCUMENT,agreement_document,1,True,agreement_bk; document_bk
LNK_PRODUCT_COVERAGE,product_coverage,3,False,coverage_bk; product_bk
LNK_PRODUCT_VARIANT,product_variant,3,False,product_from_bk; product_to_bk
LNK_QUOTE_PARTY,quote_party,5,False,party_bk; quote_bk
LNK_QUOTE_PRODUCT,quote_product,7,False,product_bk; quote_bk
LNK_QUOTE_PROPOSAL,quote_proposal,2,False,proposal_bk; quote_bk
LNK_PROPOSAL_PARTY,proposal_party,11,False,party_bk; proposal_bk
LNK_PROPOSAL_PRODUCT,proposal_product,10,False,product_bk; proposal_bk
LNK_PROPOSAL_ASSESSMENT,proposal_assessment,3,False,assessment_bk; proposal_bk
LNK_PROPOSAL_POLICY,proposal_policy,11,False,policy_bk; proposal_bk
LNK_POLICY_PARTY,policy_party,48,False,party_bk; policy_bk
LNK_POLICY_PRODUCT,policy_product,37,False,policy_bk; product_bk
LNK_POLICY_COVERAGE,policy_coverage,6,False,coverage_bk; policy_bk
LNK_POLICY_RISK_OBJECT,policy_risk_object,5,False,policy_bk; risk_object_bk
LNK_POLICY_CHANNEL,policy_channel,43,False,distribution_channel_bk; policy_bk
LNK_POLICY_ORG_UNIT,policy_org_unit,13,False,org_unit_bk; policy_bk
LNK_POLICY_LOCATION,policy_location,13,False,location_bk; policy_bk
LNK_POLICY_ENDORSEMENT,policy_endorsement,1,True,policy_bk; link_instance_bk
LNK_POLICY_RENEWAL,policy_renewal,1,True,policy_from_bk; policy_to_bk
LNK_POLICY_DOCUMENT,policy_document,9,False,document_bk; policy_bk
LNK_POLICY_PAYMENT_INSTRUMENT,policy_payment_instrument,2,False,payment_instrument_bk; policy_bk
LNK_RISK_OBJECT_PARTY,risk_object_party,4,False,party_bk; risk_object_bk
LNK_RISK_OBJECT_ASSESSMENT,risk_object_assessment,2,False,assessment_bk; risk_object_bk
LNK_RISK_OBJECT_DOCUMENT,risk_object_document,1,True,document_bk; risk_object_bk
LNK_ASSESSMENT_PARTY,assessment_party,10,False,assessment_bk; party_bk
LNK_LOSS_EVENT_LOCATION,loss_event_location,2,False,location_bk; loss_event_bk
LNK_CLAIM_LOSS_EVENT,claim_loss_event,3,False,claim_bk; loss_event_bk
LNK_CLAIM_POLICY,claim_policy,14,False,claim_bk; policy_bk
LNK_CLAIM_COVERAGE,claim_coverage,2,False,claim_bk; coverage_bk
LNK_CLAIM_PARTY,claim_party,14,False,claim_bk; party_bk
LNK_CLAIM_ASSESSMENT,claim_assessment,5,False,assessment_bk; claim_bk
LNK_CLAIM_CASE,claim_case,3,False,case_bk; claim_bk
LNK_CLAIM_DOCUMENT,claim_document,8,False,claim_bk; document_bk
LNK_CLAIM_LOCATION,claim_location,7,False,claim_bk; location_bk
LNK_CLAIM_PAYMENT_INSTRUMENT,claim_payment_instrument,3,False,claim_bk; payment_instrument_bk
LNK_FINTXN_POLICY,fintxn_policy,3,False,financial_transaction_bk; policy_bk
LNK_FINTXN_CLAIM,fintxn_claim,2,False,claim_bk; financial_transaction_bk
LNK_FINTXN_PARTY,fintxn_party,2,False,financial_transaction_bk; party_bk
LNK_FINTXN_INSTRUMENT,fintxn_instrument,2,False,financial_transaction_bk; payment_instrument_bk
LNK_CASE_PARTY,case_party,3,False,case_bk; party_bk
LNK_CASE_POLICY,case_policy,1,True,case_bk; policy_bk
LNK_CASE_DOCUMENT,case_document,3,False,case_bk; document_bk
LNK_ORG_UNIT_HIERARCHY,org_unit_hierarchy,7,False,org_unit_from_bk; org_unit_to_bk
LNK_ORG_UNIT_LOCATION,org_unit_location,1,True,location_bk; org_unit_bk
LNK_TREATY_PARTY,treaty_party,1,True,party_bk; reinsurance_treaty_bk
LNK_TREATY_PRODUCT,treaty_product,1,True,product_bk; reinsurance_treaty_bk
LNK_POLICY_CESSION,policy_cession,1,True,policy_bk; reinsurance_treaty_bk
LNK_FINTXN_ACCOUNT,fintxn_account,2,False,financial_account_bk; financial_transaction_bk
