link_code,hubs,status
LNK_PARTY_RELATIONSHIP,HUB_PARTY + HUB_PARTY,gap_redundant_or_role_not_relationship
LNK_PARTY_GROUP,HUB_PARTY + HUB_PARTY,gap_redundant_or_role_not_relationship
LNK_COVERAGE_HIERARCHY,HUB_COVERAGE + HUB_COVERAGE,gap
LNK_QUOTE_RISK_OBJECT,HUB_QUOTE + HUB_RISK_OBJECT,gap
LNK_PROPOSAL_RISK_OBJECT,HUB_PROPOSAL + HUB_RISK_OBJECT,gap
LNK_POLICY_COVERAGE_RISK,HUB_POLICY + HUB_COVERAGE + HUB_RISK_OBJECT,gap
LNK_RISK_OBJECT_LOCATION,HUB_RISK_OBJECT + HUB_LOCATION,gap
LNK_ASSESSMENT_DOCUMENT,HUB_ASSESSMENT + HUB_DOCUMENT,gap
LNK_LOSS_EVENT_RISK_OBJECT,HUB_LOSS_EVENT + HUB_RISK_OBJECT,gap
LNK_CLAIM_RISK_OBJECT,HUB_CLAIM + HUB_RISK_OBJECT,gap
LNK_FINTXN_TREATY,HUB_FINANCIAL_TRANSACTION + HUB_REINSURANCE_TREATY,gap
LNK_CLAIM_RI_RECOVERY,HUB_CLAIM + HUB_REINSURANCE_TREATY,gap
LNK_TREATY_DOCUMENT,HUB_REINSURANCE_TREATY + HUB_DOCUMENT,gap
