sat_code,effective_parent_hub,reanchored_satellite_level,has_view,shared_view,n_full_grain_branches_joined,n_partial_grain_union_fallback_branches
SAT_ACCOUNT_BALANCE,HUB_FINANCIAL_ACCOUNT,False,False,False,1,0
SAT_ACCOUNT_DEFINITION,HUB_FINANCIAL_ACCOUNT,False,True,False,2,0
SAT_AGREEMENT_COMMERCIAL_TERMS,HUB_AGREEMENT,False,True,True,1,0
SAT_AGREEMENT_DEFINITION,HUB_AGREEMENT,False,True,False,4,0
SAT_AGREEMENT_SLA,HUB_AGREEMENT,False,True,True,1,0
SAT_ASSESSMENT_HEADER,HUB_ASSESSMENT,False,True,False,4,0
SAT_ASSESSMENT_MEDICAL,HUB_ASSESSMENT,False,True,False,4,0
SAT_ASSESSMENT_UNDERWRITING,HUB_ASSESSMENT,False,True,False,3,0
SAT_CASE_HEADER,HUB_CASE,False,False,False,1,0
SAT_CHANNEL_DEFINITION,HUB_DISTRIBUTION_CHANNEL,False,True,False,8,0
SAT_CLAIM_ASSESSMENT_SUMMARY,HUB_CLAIM,False,True,False,2,0
SAT_CLAIM_BENEFIT_HEAD,HUB_CLAIM,False,True,False,0,2
SAT_CLAIM_BILL_DIGITISATION,HUB_CLAIM,False,True,False,3,0
SAT_CLAIM_COMMUNICATION,HUB_CLAIM,False,False,False,1,0
SAT_CLAIM_CO_RI_SHARE,HUB_CLAIM,False,False,False,1,0
SAT_CLAIM_DISBURSEMENT_BATCH,HUB_CLAIM,False,True,True,1,0
SAT_CLAIM_FNOL,HUB_CLAIM,False,True,True,1,0
SAT_CLAIM_HEADER,HUB_CLAIM,False,True,False,7,0
SAT_CLAIM_HEALTH_DETAIL,HUB_CLAIM,False,True,False,25,0
SAT_CLAIM_NOTE,HUB_CLAIM,False,True,False,0,3
SAT_CLAIM_PROVIDER_BILLING,HUB_CLAIM,False,True,False,4,1
SAT_CLAIM_REPUDIATION,HUB_CLAIM,False,True,False,3,0
SAT_CLAIM_RESERVE,HUB_CLAIM,False,True,False,0,1
SAT_CLAIM_SETTLEMENT,HUB_CLAIM,False,True,False,4,0
SAT_CLAIM_TPA_INTERACTION,HUB_CLAIM,False,True,False,7,0
SAT_COMMON_ADDRESS,HUB_LOCATION,False,True,False,6,0
SAT_COMMON_ADMIN_GEOGRAPHY,HUB_PARTY,True,True,True,1,0
SAT_COMMON_CONSENT,HUB_PARTY,False,True,True,4,0
SAT_COMMON_CONTACT,HUB_PARTY,False,True,False,0,16
SAT_COMMON_GEO,HUB_LOCATION,False,False,False,1,0
SAT_COMMON_STATUS,HUB_PARTY,True,False,False,1,0
SAT_DOCUMENT_CHECKLIST,HUB_DOCUMENT,False,True,False,0,1
SAT_DOCUMENT_DEFINITION,HUB_DOCUMENT,False,True,False,3,0
SAT_FINTXN_CLAIM_PAYMENT,HUB_FINANCIAL_TRANSACTION,False,True,False,2,0
SAT_FINTXN_COMMISSION,HUB_FINANCIAL_TRANSACTION,False,True,True,1,0
SAT_FINTXN_HEADER,HUB_FINANCIAL_TRANSACTION,False,True,True,1,0
SAT_FINTXN_PREMIUM,HUB_FINANCIAL_TRANSACTION,False,True,True,1,0
SAT_FINTXN_RECON_INSTRUMENT,HUB_FINANCIAL_TRANSACTION,False,True,False,0,1
SAT_FINTXN_TAX,HUB_FINANCIAL_TRANSACTION,False,True,False,0,3
SAT_FIN_CHARGE_RATE,HUB_POLICY,True,False,False,1,0
SAT_FIN_RECEIPT,HUB_FINANCIAL_TRANSACTION,False,True,True,1,0
SAT_INSTRUMENT_DEFINITION,HUB_PAYMENT_INSTRUMENT,False,False,False,1,0
SAT_LNK_PARTY_ROLE_CORE,HUB_PARTY,False,True,False,0,4
SAT_LNK_ROLE_AGENT,HUB_PARTY,False,True,False,2,0
SAT_LNK_ROLE_CUSTOMER,HUB_PARTY,False,True,False,3,0
SAT_LNK_ROLE_EMPLOYEE,HUB_PARTY,False,True,False,10,0
SAT_LNK_ROLE_NOMINEE_BENEFICIARY,HUB_PARTY,False,True,False,13,0
SAT_LNK_ROLE_PROVIDER,HUB_PARTY,False,True,False,6,0
SAT_LNK_ROLE_TPA,HUB_PARTY,False,False,False,1,0
SAT_LOCATION_PROFILE,HUB_LOCATION,False,False,False,1,0
SAT_LOSS_EVENT_DETAIL,HUB_LOSS_EVENT,False,True,False,3,0
SAT_ORG_UNIT_DEFINITION,HUB_ORG_UNIT,False,False,False,1,0
SAT_PARTY_ADDRESS_USAGE,HUB_PARTY,False,True,False,0,4
SAT_PARTY_BANKING,HUB_PARTY,False,True,False,4,3
SAT_PARTY_CLAIM_HISTORY,HUB_PARTY,False,True,False,5,0
SAT_PARTY_CORRESPONDENCE,HUB_CLAIM,True,False,False,1,0
SAT_PARTY_DIGITAL_IDENTITY,HUB_PARTY,False,False,False,1,0
SAT_PARTY_EMPLOYMENT,HUB_PARTY,False,True,False,8,0
SAT_PARTY_FINANCIAL_PROFILE,HUB_PARTY,False,True,False,9,0
SAT_PARTY_FRAUD_PROFILE,HUB_PARTY,False,True,False,2,0
SAT_PARTY_GROUP_CENSUS,HUB_PARTY,False,True,False,0,8
SAT_PARTY_GROUP_HOUSEHOLD,HUB_PARTY,False,True,False,4,0
SAT_PARTY_GROUP_SCHEME,HUB_PARTY,False,False,False,1,0
SAT_PARTY_HEALTH_PROFILE,HUB_PARTY,False,True,False,11,0
SAT_PARTY_HIERARCHY,HUB_PARTY,False,False,False,1,0
SAT_PARTY_IDENTIFICATION,HUB_PARTY,False,True,False,0,16
SAT_PARTY_IDENTITY,HUB_PARTY,False,True,False,48,0
SAT_PARTY_INDIVIDUAL_DEMOGRAPHICS,HUB_PARTY,False,True,True,4,0
SAT_PARTY_ORGANISATION_PROFILE,HUB_PARTY,False,True,True,1,0
SAT_PARTY_POLICY_HISTORY,HUB_PARTY,False,False,False,1,0
SAT_PARTY_PROVIDER_CAPABILITY,HUB_PARTY,False,True,False,0,4
SAT_POLICY_BONUS_TRACKING,HUB_POLICY,False,True,False,6,0
SAT_POLICY_CERTIFICATE,HUB_POLICY,False,True,False,1,13
SAT_POLICY_CLASSIFICATION,HUB_POLICY,False,True,False,0,10
SAT_POLICY_CLAUSE_ATTACHED,HUB_POLICY,False,True,False,0,1
SAT_POLICY_COINSURANCE,HUB_POLICY,False,False,False,1,0
SAT_POLICY_COVERAGE_SCHEDULE,HUB_POLICY,False,True,False,0,6
SAT_POLICY_DISCOUNT_LOADING_APPLIED,HUB_POLICY,False,True,False,0,3
SAT_POLICY_ENDORSEMENT,HUB_POLICY,False,True,False,2,0
SAT_POLICY_GROUP,HUB_POLICY,False,True,False,4,0
SAT_POLICY_HEADER,HUB_POLICY,False,True,False,31,0
SAT_POLICY_INSTALMENT_SCHEDULE,HUB_POLICY,False,True,False,0,1
SAT_POLICY_INTERMEDIARY_SPLIT,HUB_POLICY,False,False,False,1,0
SAT_POLICY_LIFECYCLE,HUB_POLICY,False,True,True,1,0
SAT_POLICY_PORTABILITY_MIGRATION,HUB_POLICY,False,True,False,13,0
SAT_POLICY_PREMIUM_HEAD,HUB_POLICY,False,True,False,0,5
SAT_POLICY_PREMIUM_SUMMARY,HUB_POLICY,False,True,False,18,0
SAT_POLICY_REFUND_DETAIL,HUB_POLICY,False,False,False,1,0
SAT_POLICY_RENEWAL,HUB_POLICY,False,False,False,1,0
SAT_POLICY_TAX_HEAD,HUB_POLICY,False,True,False,0,2
SAT_POLICY_TENURE_SCHEDULE,HUB_POLICY,False,True,False,0,1
SAT_POLICY_TERMS,HUB_POLICY,False,True,False,9,0
SAT_PRODUCT_DEFINITION,HUB_PRODUCT,False,True,False,7,0
SAT_PRODUCT_HEALTH_MEMBERSHIP_RULES,HUB_POLICY,True,True,True,1,0
SAT_PRODUCT_RATING_FACTOR,HUB_POLICY,True,True,True,1,0
SAT_PRODUCT_TERMS,HUB_PRODUCT,False,True,False,2,0
SAT_PRODUCT_VERSION,HUB_PRODUCT,False,False,False,1,0
SAT_PROPOSAL_QUESTIONNAIRE,HUB_PROPOSAL,False,True,False,0,1
SAT_PROPOSAL_UNDERWRITING,HUB_PROPOSAL,False,False,False,1,0
SAT_PROVIDER_QUALITY,HUB_PARTY,False,True,True,1,0
SAT_PROVIDER_TARIFF,HUB_PARTY,False,True,False,0,2
SAT_QUOTE_HEADER,HUB_QUOTE,False,True,False,3,0
SAT_QUOTE_RATING,HUB_QUOTE,False,False,False,1,0
SAT_RISK_HEALTH_MEMBER_COVERAGE,HUB_RISK_OBJECT,False,True,False,0,2
SAT_RISK_HEALTH_MEMBER_MEDICAL,HUB_RISK_OBJECT,False,True,False,0,4
SAT_RISK_OBJECT_CORE,HUB_RISK_OBJECT,False,False,False,1,0
SAT_RISK_PERSON_INSURED,HUB_RISK_OBJECT,False,True,False,5,0
SAT_RISK_PERSON_MEMBER,HUB_RISK_OBJECT,False,True,False,0,2
