sat_code,canonical_parent_hub,no_key_branches_considered
SAT_COVERAGE_CONDITIONS,HUB_COVERAGE,BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_GRP_HLT_DTLS; BJAZ_GRP_HLT_MATERNITY_DTLS; BJAZ_HCF_MEMBER_DTLS
SAT_COVERAGE_DEFINITION,HUB_COVERAGE,BA_HCP_PROD_8439_CLH_LOADER; BJAZ_GRP_HLT_DTLS; BJAZ_HCF_MEMBER_DTLS; BJAZ_HM_BILL_DETAIL; BJAZ_HM_BILL_DETAIL_OCR; BJAZ_TPA_CLAIM_DETAILS_WS
SAT_COVERAGE_LIMITS,HUB_COVERAGE,BJAZ_BANDHAN_MEDI_CLAM; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_DTLS; BJAZ_GRP_HLT_MATERNITY_DTLS
SAT_COVERAGE_LIVES_COUNT,HUB_COVERAGE,BJAZ_PMJAY_PRMBOOK_DTLS
SAT_COVERAGE_MEMBER_BENEFIT,HUB_COVERAGE,BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_CTNGY_PA_MEM_DTLS; BJAZ_HCF_MEMBER_DTLS; BJAZ_HCP_TRANSCRIPT_URL; BJAZ_HCS_PLANSI_MAPP; BJAZ_HC_PART_EXTN; BJAZ_IHG_MEM_DTLS_EXTN; BJAZ_ILLNESS_BASES_EXTN; BJAZ_SH_MEM_DTLS_EXTN; BJAZ_SUPER_SURAKSHA_DTLS
SAT_COVERAGE_SUBLIMIT_SCHEDULE,HUB_COVERAGE,BJAZ_GRP_HLT_DTLS; BJAZ_HM_HCM_EXTRACT
SAT_FIN_PREMIUM_REGISTER,HUB_FINANCIAL_TRANSACTION,BJAZ_PMJAY_PRMBOOK_DTLS
SAT_PRODUCT_EXCLUSION_CATALOGUE,HUB_PRODUCT,BJAZ_HM_EXCLUSION_MASTER
SAT_PROPOSAL_HEADER,HUB_PROPOSAL,BJAZ_EC_MEM_DTLS_EXTN
SAT_RISK_HEALTH_PED_WAITING,HUB_RISK_OBJECT,BJAZ_HAT_ID_MEM_DETLS
SAT_RI_CESSION_DETAIL,HUB_REINSURANCE_TREATY,BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8433_FHC_LOADER
