source_table,hub_code,columns,provenance
BA_HCP_DT_MEM,HUB_COVERAGE,HCP_SEQNO,discovered
BA_HCP_DT_POL_COV,HUB_COVERAGE,HCP_SEQNO,discovered
BA_HCP_DT_PREMIUM,HUB_PARTY,USER_ID,discovered
BA_HCP_DT_PREMIUM,HUB_COVERAGE,HCP_SEQNO,discovered
BA_HCP_POL_MST,HUB_PARTY,USER_ID,discovered
BA_HCP_PROD_8428_GPG_LOADER,HUB_RISK_OBJECT,POL_SERIAL_NO+MD_SEQ_NO,confirmed
BA_HCP_PROD_8428_GPG_LOADER,HUB_PARTY,PD_IMD_RM_E_CODE,reanchor
BA_HCP_PROD_8428_GPG_LOADER,HUB_PARTY,PD_BAGIC_RM_E_CODE,reanchor
BA_HCP_PROD_8432_ECP_LOADER,HUB_PARTY,PD_IMD_RM_E_CODE,reanchor
BA_HCP_PROD_8432_ECP_LOADER,HUB_PARTY,PD_BAGIC_RM_E_CODE,reanchor
BA_HCP_PROD_8433_FHC_LOADER,HUB_RISK_OBJECT,POL_SERIAL_NO+MD_SEQ_NO,confirmed
BA_HCP_PROD_8433_FHC_LOADER,HUB_PARTY,PD_IMD_RM_E_CODE,reanchor
BA_HCP_PROD_8433_FHC_LOADER,HUB_PARTY,PD_BAGIC_RM_E_CODE,reanchor
BA_HCP_PROD_8439_CLH_LOADER,HUB_PARTY,PD_IMD_RM_E_CODE,reanchor
BA_HCP_PROD_8439_CLH_LOADER,HUB_PARTY,PD_BAGIC_RM_E_CODE,reanchor
BJAZ_EC_MEM_DTLS_EXTN,HUB_RISK_OBJECT,CONTRACT_ID+MEMBER_NO,confirmed
BJAZ_GPG_POL_DTLS,HUB_PARTY,BAGIC_E_CODE,reanchor
BJAZ_GPG_POL_DTLS,HUB_PARTY,IMD_CODE,reanchor
BJAZ_GPG_POL_DTLS,HUB_PARTY,SUB_IMD_CODE,reanchor
BJAZ_GPG_POL_DTLS,HUB_PARTY,BAGIC_RM_E_CODE,reanchor
BJAZ_GRP_HLT_DTLS,HUB_PROPOSAL,QUOTE_REF_NO,confirmed
BJAZ_GRP_HLT_IMD_DTLS,HUB_PARTY,IMD_CODE,reanchor
BJAZ_GRP_HLT_IMD_DTLS,HUB_PARTY,SUB_IMD_CODE,reanchor
BJAZ_HAT_CASE_OCR_DTLS,HUB_POLICY,POLICY_NUMBER,discovered
BJAZ_HAT_CASE_OCR_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_HAT_CASE_OCR_DTLS,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_HAT_CASE_OCR_DTLS,HUB_CLAIM,CASE_ID,discovered
BJAZ_HAT_CASE_OCR_DTLS,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_HCF_MEMBER_DTLS,HUB_RISK_OBJECT,CONTRACT_ID+MEMBER_NO,confirmed
BJAZ_HG_POL_DTLS,HUB_PROPOSAL,QUOTE_REF_NO,confirmed
BJAZ_HM_BILL_PAYMENT,HUB_PARTY,PART_ID,discovered
BJAZ_HM_CLM_REGISTER,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_HM_CLM_REGISTER,HUB_POLICY,POLICY_REF,discovered
BJAZ_HM_CLM_REGISTER,HUB_DISTRIBUTION_CHANNEL,MAIN_AGENT_CODE,discovered
BJAZ_HM_CLM_REGISTER,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_HM_CLM_REGISTER,HUB_CLAIM,CLID_HPMS,discovered
BJAZ_HM_CLM_REGISTER,HUB_DOCUMENT,INWARD_ID,discovered
BJAZ_HM_DOC_RECOVERY,HUB_COVERAGE,COVER_SECTION,discovered
BJAZ_HM_HCM_EXTRACT,HUB_LOSS_EVENT,CLAIM_NO,confirmed
BJAZ_HM_HCM_EXTRACT,HUB_FINANCIAL_TRANSACTION,CLAIM_NO+UTR_NO,confirmed
BJAZ_HM_HCM_EXTRACT,HUB_PAYMENT_INSTRUMENT,UTR_NO,confirmed
BJAZ_HM_HCM_EXTRACT,HUB_LOCATION,POLICY_LOCATION,confirmed
BJAZ_HM_HOSPITAL_MASTER,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_HM_HOSPITAL_MASTER,HUB_AGREEMENT,HOSID,confirmed
BJAZ_HM_HOSPITAL_MASTER,HUB_LOCATION,PIN_CODE,confirmed
BJAZ_HM_HOSPITAL_MASTER_EXTN,HUB_AGREEMENT,HOSID,confirmed
BJAZ_HM_HOSP_MASTER_EXTN1,HUB_AGREEMENT,HOSID,confirmed
BJAZ_HM_INVESTI_PAYMENT,HUB_PARTY,PART_ID,discovered
BJAZ_HM_INVESTI_PAYMENT,HUB_PAYMENT_INSTRUMENT,CHEQUE_NO,discovered
BJAZ_HM_INWARD_AUTOALLOCATION,HUB_DOCUMENT,OMNI_INWARD_NO,discovered
BJAZ_HM_INWARD_DTLS,HUB_LOSS_EVENT,CLAIM_ID,confirmed
BJAZ_HM_OUTWARD_DTLS,HUB_POLICY,POLICY_REF,discovered
BJAZ_HM_OUTWARD_DTLS,HUB_LOCATION,LOCATION_CODE,discovered
BJAZ_HM_OUTWARD_DTLS,HUB_DOCUMENT,OUTWARD_ID,discovered
BJAZ_HM_POLICY_USERMAPPING,HUB_PARTY,LOGINNAME,confirmed
BJAZ_REMEDINET_CLAIM_DETAILS,HUB_AGREEMENT,REMEDINET_PROVIDER_CODE,confirmed
BJAZ_REMEDINET_CLAIM_DETAILS,HUB_PARTY,REMEDINET_PROVIDER_CODE,reanchor
BJAZ_SPP_MEMBER_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_SPP_MEMBER_DTLS,HUB_POLICY,POLICY_NUMBER,discovered
BJAZ_SPP_MEMBER_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_LOSS_EVENT,TPA_CLAIM_NO,confirmed
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_FINANCIAL_TRANSACTION,TPA_TRANS_KEY,confirmed
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_ORG_UNIT,OPERATING_OFFICE,confirmed
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_ORG_UNIT,CONTROLLING_OFFICE,confirmed
BJAZ_TPA_CLAIM_DETAILS_WS,HUB_PARTY,HOSPITAL_CODE,reanchor
BA_HDFC_LEAD,HUB_POLICY,POLICY_REF,discovered
BA_HDFC_LEAD,HUB_PARTY,PROSPECT_ID,discovered
BA_HDFC_LEAD,HUB_PARTY,SM_CODE,discovered
BA_HDFC_LEAD,HUB_ASSESSMENT,SCRUTINY_NO,discovered
BA_HDFC_LEAD,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_ADLD_PREM_DTLS,HUB_POLICY,MASTER_POLICY_NO,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PARTY,BDR_CODE,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PARTY,CLIENT_ID,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PARTY,CUSTOMER_ID,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PARTY,SM_CODE,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PARTY,USER_ID,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_ADLD_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_ADLD_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_ADLD_PREM_DTLS,HUB_DISTRIBUTION_CHANNEL,SUBIMD_ID,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PROPOSAL,BA_LEAD_NO,discovered
BJAZ_ADLD_PREM_DTLS,HUB_PROPOSAL,KGC_PROPOSAL_NUMBER,discovered
BJAZ_ADLD_PREM_DTLS,HUB_FINANCIAL_ACCOUNT,S_ACCOUNT_NUMBER,discovered
BJAZ_CLM_PRE_AUTH_HLT_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_CLM_PRE_AUTH_HLT_DTLS,HUB_PARTY,HOSPITAL_ID,discovered
BJAZ_CLM_PRE_AUTH_HLT_DTLS,HUB_PRODUCT,PRODUCT_4DIGIT_CODE,discovered
BJAZ_CLM_PRE_AUTH_HLT_DTLS,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_CLM_PRE_AUTH_HLT_DTLS,HUB_DOCUMENT,CARD_NO,discovered
BJAZ_CLM_SUPP_EXTN,HUB_DISTRIBUTION_CHANNEL,IMD_CODE,discovered
BJAZ_CLM_SUPP_EXTN,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_CLM_SUPP_EXTN,HUB_DISTRIBUTION_CHANNEL,SUB_IMD_CODE,discovered
BJAZ_CLM_SUPP_EXTN,HUB_LOCATION,LOCATION_CODE,discovered
BJAZ_CLM_SUPP_EXTN,HUB_LOCATION,LOC_CODE,discovered
BJAZ_CLM_WG_TRANS_DTLS,HUB_POLICY,POLICY_REF,discovered
BJAZ_CLM_WG_TRANS_DTLS,HUB_PRODUCT,PRODUCT_CODE,discovered
BJAZ_CLM_WG_TRANS_DTLS,HUB_LOCATION,LOCATION_CODE,discovered
BJAZ_CLM_WG_TRANS_DTLS,HUB_CLAIM,CLAIM_ID,discovered
