source_table,source_column,label,action,sheet_said,applied_as,correction_status
BJAZ_HM_COINSU_CLM_DTLS,NETWORK_CITY,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_COINSU_CLM_DTLS,STATE,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_HCM_EXTRACT,ADD1,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_HCM_EXTRACT,ADD2,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_HCM_EXTRACT,CITY,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_HCM_EXTRACT,STATE,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HM_HCM_EXTRACT,PIN,hospital,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_TPA_CLAIM_DETAILS_WS,STATE,payee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_TPA_CLAIM_DETAILS_WS,CITY,payee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_TPA_CLAIM_DETAILS_WS,AREA,payee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_TPA_CLAIM_DETAILS_WS,PINCODE,payee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PP_MEM_DTLS,DC_NAME,diagnostic-centre,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8428_GPG_LOADER,MD_NOMINEE,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8432_ECP_LOADER,MD_NOMINEE,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8433_FHC_LOADER,MD_NOMINEE,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8439_CLH_LOADER,MD_NOMINEE,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8439_CLH_LOADER,PLC_NAME_OF_ASSIGNEE,assignee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BA_HCP_PROD_8439_CLH_LOADER,PLC_NAME_OF_ASSIGNOR,assignor,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_BANDHAN_MEDI_CLAM,NOMINEE_NAME,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_CARD_DTLS,COMPANY_NAME,employer,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_EC_MEM_DTLS_EXTN,ASSIGNEE,assignee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GENERIC_LOADER_LOG_TABLE,ASSIGNEE,assignee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GP_HOSPITAL_CASH,NOMINEE_NAME,nominee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,BENEFICIARY,beneficiary,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,INSTITITION,institution,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,CONTACT_PERSON,contact-person,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,FIRST_NAME,contact-person,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,MIDDLE_NAME,contact-person,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_CUST_DTLS,LAST_NAME,contact-person,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_GRP_HLT_DTLS,BENEFICIARY,beneficiary,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HAT_ID_MEM_DETLS,ASSIGNEE,assignee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HCF_MEMBER_DTLS,ASSIGNEE,assignee,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
BJAZ_HC_PART_EXTN,HOSPITAL,provider,EXCLUDE+FLAG,-,excluded (Outcome=unmapped in workbook),n/a
