INCLUDE,CRON,PIPELINE_NAME,MIRROR_TABLE,MIRROR_SCHEMA,MIRROR_DB,STAGING_TABLE,STAGING_SCHEMA,STAGING_DB,BUCKET,FOREIGN_KEY,VARIANT_KEYS,SYNC_TYPE,FILE_FORMAT,S3_PATH,CREATED_BY,CREATED_DATE,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,IS_ACTIVE,COMMENTS
Y,0 9 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_CAT_CLM,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_CAT_CLM,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,claimDetails.claimno,"claimDetails.claimAttribute.multiSetProperty,claimDetails.claimAttribute.properties,claimDetails.claimEventFollowup,claimDetails.claimParty.ptyattr,claimDetails.claimReserve,claimDetails.claimRisk.riskAttribute.multiSetProperty,claimDetails.claimRisk.riskAttribute.properties,claimDetails.documentDetails,claimDetails.claimPayment.paymentproperty,claimDetails.claimRiskParty.ptyattr",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_CAT_CLM/,ASHRAF_SHAIK,2025-12-22 12:26:37.420,ASHRAF_SHAIK,2026-04-13 16:15:23.401,true,updated VARIANT_KEYS
Y,0 7 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_PROP_UWR,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_PROP_UWR,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,policyDetails.quotationNumber,"policyDetails.dispatchDetails,policyDetails.documentDetails,policyDetails.endorsementDetails,policyDetails.insuredDetails.documentDetails,policyDetails.insuredDetails.memberDetails,policyDetails.teleVerificationDetails,policyDetails.workItemDetails,premiumDetails,policyDetails.policyPaymentInformation,policyDetails.policyRelation,policyDetails.previousPolicyDetails,policyDetails.policyProperty.simpleProperty,policyDetails.proposerDetails.documentDetail,policyDetails.proposerDetails.partyRelation,policyDetails.officeDetails.officeAddress.addressProperty,policyDetails.insuredDetails.riskProperty.simpleProperty,policyDetails.proposerDetails.partyAddress.addressProperty,policyDetails.proposerDetails.partyProperty.simpleProperty,quoteParamDetails.riskList.riskCover.riskCoverProperty.ruleList,quoteParamDetails.riskList.riskProperty.ruleList,quoteParamDetails.policyProperty.ruleList,policyDetails.insuredDetails.riskProperty.multiSetProperty.multiSetDetail.property,quoteParamDetails.policyProperty.multiSetPropertyInput.multiSetDetailInput.property,policyDetails.policyProperty.multiSetProperty.multiSetDetail.property,quoteParamDetails.riskList.multiSetPropertyInput.multiSetDetailInput.property,policyDetails.insuredDetails.coverDetails.coverProperty.simpleProperty,policyDetails.proposerDetails.partyProperty.multiSetProperty.multiSetDetail.property",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_PROP_UWR/,ASHRAF_SHAIK,2026-01-19 16:31:03.944,ASHRAF_SHAIK,2026-04-13 15:29:06.890,true,Updated Variant Keys
Y,0 6 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_HLTH_CLM,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_HLTH_CLM,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,claimDetail.claimNumber,"authorizationRemarks.multisetAttribute.attributes,PolicyClaimHistory.multisetAttribute.attributes,ClaimPolicyHistory.multisetAttribute.attributes,claimDetail.claimAdjust,claimDetail.claimCopayDetails.attributes,claimDetail.claimPartydetails,claimDetail.claimPayment.claimPaymentDetail.attributes,claimDetail.claimPayment.paymentCycle.paymentCycleDetails,claimDetail.claimReserve.attributes,claimDetail.claimReserveHistory.attributes,claimDetail.claimbenefitlimit,claimDetail.claimdetailAttribute.multisetAttribute.attributes.multisetAttribute.attributes,claimDetail.claimtransition.attributes,claimDetail.documents.document,claimDetail.followup.attributes,claimDetail.listOfCovers.coverSetAttribute,claimDetail.notes.attributes,claimDetail.packageandservice,claimDetail.previousinsurancedetail,claimDetail.previousinsurancedetail,claimDetail.previousinsurancedetails,claimDetail.relations,claimDetail.relations.party.contactDetails,claimDetail.relations.party.partyDetails,claimDetail.relations.relationAttribute,penalInterest.multisetAttribute.attributes,claimDetail.queryDetails.rows.columns.childRows.rows.columns,claimDetail.claiminwdDocuments.rows.columns,claimDetail.requirements.rows.columns.childRows.rows.columns,claimDetail.listOfCovers.entityHeads.entityGridRows.rowAttributes.multisetAttribute.attributes",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_HLTH_CLM/,ASHRAF_SHAIK,2026-01-12 15:07:34.715,ASHRAF_SHAIK,2026-04-13 15:21:11.029,true,Updated Variant Keys
Y,"0 6,22 * * *",MAXI_RAW_S3_TO_SF_INGESTION,MAXI_HLTH_UWR,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_HLTH_UWR,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,proposalNumber,"basicDetailAttribute,communicationDetailsAdditionTab.mail,communicationDetailsAdditionTab.sms,endorsementDetails,endorsementHistoryReport,memberDetailsTab.gradedSiDetails,memberDetailsTab.memberData,memberDetailsTabs.memberStatusHistory,memberDetailsTabs.policyAndClaimHistory,memberRiderDetails,members.FollowUpReport.attributes,members.additionalTest,members.benefits.attributes,members.medicalrating,members.medicalrating.CTMT.attributes,members.medicalrating.decisions,members.medicalrating.digitallabreports,members.medicalrating.exclusions,members.party.contactDetails,members.party.partyDetails,members.ppcPackage,members.questionnaire,requirementDetails.rows.columns,viewCollections,viewCollectionsAdditionalDetails,requirementDetails.rows.childRows.rows.columns,members.memberDetails.multisetAttribute.attributes,basicDetailAttribute.multisetAttribute.attributes",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_HLTH_UWR/,ASHRAF_SHAIK,2026-01-12 15:27:23.477,ASHRAF_SHAIK,2026-04-13 13:04:04.951,true,Updated Variant Keys
Y,0 7 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_CAT_UWR,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_CAT_UWR,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,policyDetails.quotationNumber,"policyDetails.dispatchDetails,policyDetails.documentDetails,policyDetails.endorsementDetails,policyDetails.insuredDetails.documentDetails,policyDetails.officeDetails,policyDetails.teleVerificationDetails,policyDetails.workItemDetails,premiumDetails,quoteParamDetails,policyDetails.policyPaymentInformation,policyDetails.policyRelation,policyDetails.previousPolicyDetails,policyDetails.policyProperty.simpleProperty,policyDetails.proposerDetails.documentDetail,policyDetails.proposerDetails.partyRelation,policyDetails.officeDetails.officeAddress.addressProperty,policyDetails.insuredDetails.riskProperty.simpleProperty,policyDetails.proposerDetails.partyAddress.addressProperty,policyDetails.proposerDetails.partyProperty.simpleProperty,quoteParamDetails.riskList.riskProperty.ruleList,quoteParamDetails.riskList.riskCover.riskCoverProperty.ruleList,quoteParamDetails.policyProperty.ruleList,policyDetails.insuredDetails.coverDetails.coverProperty.simpleProperty,policyDetails.insuredDetails.memberDetails.documentDetail,policyDetails.insuredDetails.memberDetails.partyRelation,policyDetails.insuredDetails.memberDetails.partyAddress.addressProperty,policyDetails.insuredDetails.riskProperty.multiSetProperty,policyDetails.proposerDetails.partyProperty.multiSetProperty.multiSetDetail.property,policyDetails.insuredDetails.coverDetails.coverProperty.multiSetProperty,policyDetails.insuredDetails.memberDetails.partyProperty.multiSetProperty,policyDetails.insuredDetails.memberDetails.partyProperty.simpleProperty,quoteParamDetails.riskList.multiSetPropertyInput,quoteParamDetails.policyProperty.multiSetPropertyInput,policyDetails.policyProperty.multiSetProperty",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_CAT_UWR/,ASHRAF_SHAIK,2025-12-19 12:05:32.389,ASHRAF_SHAIK,2026-02-23 16:20:17.729,true,Updated Variant Keys
Y,0 10 * * *,MAXI_RAW_S3_TO_SF_INGESTION,NONHLTH_TRV_UWR,MAXI_RAW,BAGIC_PROD_MIRROR_DB,NONHLTH_TRV_UWR,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,policyDetails.quotationNumber,"premiumDetails,policyDetails.dispatchDetails,policyDetails.endorsementDetails,policyDetails.policyPaymentInformation,policyDetails.documentDetails,policyDetails.policyRelation,policyDetails.teleVerificationDetails,policyDetails.workItemDetails,policyDetails.previousPolicyDetails,policyDetails.policyProperty.simpleProperty,policyDetails.proposerDetails.documentDetail,policyDetails.proposerDetails.partyRelation,policyDetails.officeDetails.officeAddress.addressProperty,policyDetails.insuredDetails.documentDetails,policyDetails.insuredDetails.memberDetails.documentDetail,policyDetails.insuredDetails.memberDetails.partyRelation,policyDetails.insuredDetails.memberDetails.partyAddress.addressProperty,policyDetails.insuredDetails.memberDetails.partyProperty.simpleProperty,policyDetails.insuredDetails.memberDetails.partyProperty.multiSetProperty.multiSetDetail.property,policyDetails.insuredDetails.riskProperty.simpleProperty,policyDetails.insuredDetails.riskProperty.multiSetProperty.multiSetDetail.property,policyDetails.policyProperty.multiSetProperty.multiSetDetail.property,policyDetails.proposerDetails.partyAddress.addressProperty,policyDetails.proposerDetails.partyProperty.simpleProperty,policyDetails.proposerDetails.partyProperty.multiSetProperty.multiSetDetail.property,quoteParamDetails.riskList.riskProperty.ruleList,quoteParamDetails.riskList.riskCover.riskCoverProperty.ruleList,quoteParamDetails.policyProperty.ruleList,quoteParamDetails.policyProperty.multiSetPropertyInput.multiSetDetailInput.property,policyDetails.insuredDetails.coverDetails.coverProperty.multiSetProperty.multiSetDetail.property,quoteParamDetails.riskList.multiSetPropertyInput.multiSetDetailInput.property,policyDetails.insuredDetails.coverDetails.coverProperty.simpleProperty",INU,json,s3://datahub-msk-landing-bucket/prod/NONHLTH_TRV_UWR/,ASHRAF_SHAIK,2025-12-19 12:05:41.995,ASHRAF_SHAIK,2026-02-20 16:08:45.836,true,updated SYNC_TYPE & CRON
Y,0 9 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_SUR_BND_CLM,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_SUR_BND_CLM,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,claimDetails.claimno,"claimDetails.claimAttribute.multiSetProperty,claimDetails.claimAttribute.properties,claimDetails.claimEventFollowup,claimDetails.claimParty.ptyattr,claimDetails.claimPayment.paymentproperty,claimDetails.claimReserve,claimDetails.claimRisk.riskAttribute.multiSetProperty.multiSetDetail.property,claimDetails.claimRisk.riskAttribute.properties,claimDetails.claimRiskParty.ptyattr,claimDetails.documentDetails",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_SUR_BND_CLM/,ASHRAF_SHAIK,2026-02-20 15:06:57.030,ASHRAF_SHAIK,2026-02-20 16:05:08.776,true,updated SYNC_TYPE & CRON
Y,0 9 * * *,MAXI_RAW_S3_TO_SF_INGESTION,NONHLTH_TRV_CLM,MAXI_RAW,BAGIC_PROD_MIRROR_DB,NONHLTH_TRV_CLM,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,claimDetails.claimno,"claimDetails.claimAttribute.properties,claimDetails.claimEventFollowup,claimDetails.claimPayment.paymentproperty,claimDetails.claimReserve,claimDetails.claimCover.multiSetDetail.property,claimDetails.claimRisk.riskAttribute.multiSetProperty,claimDetails.claimRisk.riskAttribute.multiSetProperty.multiSetDetail.property,claimDetails.claimRisk.riskAttribute.properties,claimDetails.claimRiskParty,claimDetails.documentDetails,claimDetails.claimAttribute.multiSetProperty.multiSetDetail.property,claimDetails.claimHistory,claimDetails.claimParty",INU,json,s3://datahub-msk-landing-bucket/prod/NONHLTH_TRV_CLM/,ASHRAF_SHAIK,2025-12-19 12:05:32.389,ASHRAF_SHAIK,2026-02-04 11:31:44.817,true,Updated Cron
Y,0 7 * * *,MAXI_RAW_S3_TO_SF_INGESTION,MAXI_SUR_BND_UWR,MAXI_RAW,BAGIC_PROD_MIRROR_DB,MAXI_SUR_BND_UWR,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,policyDetails.quotationNumber,"policyDetails.dispatchDetails,policyDetails.documentDetails,policyDetails.endorsementDetails,policyDetails.insuredDetails.coverDetails,policyDetails.insuredDetails.documentDetails,policyDetails.insuredDetails.memberDetails,policyDetails.teleVerificationDetails,policyDetails.workItemDetails,premiumDetails,policyDetails.policyPaymentInformation,policyDetails.policyRelation,policyDetails.previousPolicyDetails,policyDetails.policyProperty.simpleProperty,policyDetails.proposerDetails.documentDetail,policyDetails.proposerDetails.partyRelation,policyDetails.officeDetails.officeAddress.addressProperty,policyDetails.insuredDetails.riskProperty.simpleProperty,policyDetails.policyProperty.multiSetProperty.multiSetDetail.property,policyDetails.proposerDetails.partyAddress.addressProperty,policyDetails.proposerDetails.partyProperty.simpleProperty,policyDetails.proposerDetails.partyProperty.multiSetProperty.multiSetDetail.property,quoteParamDetails.riskList.riskProperty.ruleList,quoteParamDetails.riskList.riskCover.riskCoverProperty.ruleList,quoteParamDetails.policyProperty.ruleList,quoteParamDetails.policyProperty.multiSetPropertyInput.multiSetDetailInput.property,policyDetails.insuredDetails.coverDetails.coverProperty.simpleProperty",INU,json,s3://datahub-msk-landing-bucket/prod/MAXI_SUR_BND_UWR/,ASHRAF_SHAIK,2025-12-19 12:05:32.389,ASHRAF_SHAIK,2026-02-04 11:30:32.417,true,Updated Cron
Y,0 7 * * *,MAXI_RAW_S3_TO_SF_INGESTION,BUSINESS_PARTNERS,MAXI_RAW,BAGIC_PROD_MIRROR_DB,BUSINESS_PARTNERS,MAXI_RAW,BAGIC_PROD_STAGING_DB,datahub-msk-landing-bucket,partyDetail.partyCode,"partyDetail.partyAddress.addressProperty,partyDetail.documentDetail,partyDetail.partyProperty.simpleProperty,partyDetail.partyRelation,partyDetail.relatedParty,partyDetail.partyProperty.multiSetProperty,partyDetail.partyProperty.multiSetProperty.multiSetDetail.property, partyDetail.relatedParty",INU,json,s3://datahub-msk-landing-bucket/prod/BUSINESS_PARTNERS/,ASHRAF_SHAIK,2025-12-19 12:05:32.389,ASHRAF_SHAIK,2026-02-03 14:42:40.187,true,Set Cron
